,ds,yhat,yhat_lower,yhat_upper
0,2025-01-31,2006.8625325040907,1671.0980917875727,2347.855684024189
1,2025-02-28,1989.0032260056387,1660.8509641558273,2347.30974641416
2,2025-03-31,1860.4131577845021,1531.8150240175962,2214.1951664788116
